x1,y1,x2,y2,selectivity
'mvbrmzv','L','zioegcyq','QS',0.20062500000000000000
'bprfuqy','L','nigcb','ZJO',0.42348000000000000000
'rqp','DIY','wptvn','X',0.19652000000000000000
'quzhf','FG','vwsn','P',0.07224500000000000000
'kmjwnedfur','CS','mokhcdm','ZXV',0.16250000000000000000
'hvxwxiypmc','HQD','lye','ZJN',0.08894500000000000000
'kgygk','AL','qqtgzme','LV',0.10825000000000000000
'htpjdutpzs','PMI','uagu','Y',0.27706000000000000000
'hq','QQT','yxue','WO',0.20054500000000000000
'jknoe','LVM','vyweee','YJ',0.36259500000000000000
'p','BZD','zw','Z',0.34894500000000000000
'a','OAG','urgiduh','S',0.15874500000000000000
'n','K','y','TUW',0.32691000000000000000
'd','BF','ykruqlqk','QAN',0.51253000000000000000
'bbuwmjronv','PQ','iort','Y',0.18495500000000000000
'erncyyrh','JP','kkb','YJE',0.12511000000000000000
'jogi','EJ','ozvsbsoa','U',0.19024000000000000000
'rnxoidwif','DY','xyuylcsbqu','UDI',0.22922500000000000000
'fraex','II','lnmngborjo','Z',0.16038500000000000000
'aavat','OJP','trrtcngn','T',0.47310500000000000000
'e','FDG','rqbavu','N',0.16928500000000000000
'rq','M','wzozdlm','MYE',0.03232500000000000000
'bzv','BDT','fccylkxsfa','QUK',0.09412500000000000000
'aih','D','lyolskd','KDV',0.08488000000000000000
'q','AI','ubfef','NN',0.10386500000000000000
'gdbjprftj','ACY','xnotpf','N',0.32565500000000000000
'mca','R','r','YOP',0.07284000000000000000
'mbwc','FV','quyliaeu','U',0.18213500000000000000
'hg','LIY','tork','RDN',0.18747500000000000000
'rsfatis','RW','x','TGT',0.06572000000000000000
'opt','E','yz','I',0.06236000000000000000
'lh','C','zekdy','NN',0.26174500000000000000
'ehjg','AW','yd','LAG',0.11840000000000000000
'geerhlcpaq','BLK','lexff','M',0.04596500000000000000
'bin','AO','jduzsas','NMS',0.18364500000000000000
'mck','GD','vqwsdgl','QPY',0.21736000000000000000
'hcdfw','LQ','xtmjxtsdqg','O',0.10136000000000000000
'oy','AN','q','VG',0.09782000000000000000
'p','HD','zqadzve','LZI',0.05779000000000000000
'csf','Q','xtind','VYA',0.25818500000000000000
'qtvmdbokrn','RDP','rrtitfutnn','V',0.01477500000000000000
'eg','O','pyakkuxg','S',0.07746500000000000000
'oypvs','BEW','ydjllrcdfy','PKQ',0.16887000000000000000
'ayapggcm','LO','ksfdtdm','Z',0.26753500000000000000
'fici','ON','ouifrw','RYG',0.06068500000000000000
'ehdmd','IP','uyizflyp','NLR',0.22338500000000000000
'jmqsxctp','Q','u','VMU',0.17832000000000000000
'azgqlyybo','OGN','zpjkdvxe','WV',0.48445000000000000000
'eg','J','kpddunyxe','QKW',0.07475500000000000000
'ptx','A','rwxuph','LL',0.02172000000000000000
'msu','DQ','nusjbx','VU',0.02190500000000000000
'qqtdjgc','B','ty','YPD',0.20710000000000000000
'cba','N','rqc','XYB',0.32571500000000000000
'aoybhwptou','CH','hqlgej','WT',0.37965500000000000000
'sgt','DTG','zy','UB',0.16329000000000000000
'aiznskps','EZ','tgwej','PG',0.30642000000000000000
'a','DHW','ch','U',0.14228000000000000000
'gqc','KPA','pahnu','ZA',0.24305500000000000000
'fs','LUT','txome','ZY',0.41947000000000000000
'fpqinjwae','LE','reej','MGN',0.07409000000000000000
'atjyeemdo','O','pp','PX',0.11528000000000000000
'efo','DS','jifqa','R',0.09286000000000000000
'itgkusc','F','zjoyv','W',0.48900500000000000000
'tuf','HBF','x','OP',0.01458500000000000000
'bwfkuxze','KY','outzlv','RG',0.25376500000000000000
'eiyd','CCA','szcnsp','PZ',0.41832000000000000000
'ildtcn','NWN','zfmdaehd','ZP',0.29925500000000000000
'cuf','P','zpmwbotjs','Z',0.39145500000000000000
'wbbqkcoke','Q','yfokhjg','XMH',0.01137000000000000000
'fgdytafg','BTE','r','RZ',0.30989000000000000000
'ghtoh','BM','nzrzlgp','H',0.04519000000000000000
'lbk','I','q','YE',0.23617500000000000000
'kaxiouyube','LX','lsfdou','ZQQ',0.05734500000000000000
'fqp','NWY','urbxnqej','Y',0.32025500000000000000
'bbdyv','A','jv','Y',0.37938500000000000000
'pe','LKX','sqmesva','Z',0.15199000000000000000
'qosap','MZ','tfhvwlyhd','V',0.08649000000000000000
'cavvcbmqg','IZ','gbv','WAY',0.16261000000000000000
'ic','D','piijbo','Y',0.29271500000000000000
'at','CDK','ebgeydtd','U',0.25050500000000000000
'fixdeqyvpx','A','vh','N',0.33077500000000000000
'fzafqbdccs','P','iffoinhtfx','SVD',0.03786000000000000000
'ssxcsf','K','tcnryjzs','LY',0.00375500000000000000
'flctpvd','H','rfmnk','UNE',0.38823500000000000000
'fjzwvgg','GVG','vh','MCR',0.10948000000000000000
