gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.292,0.096,0.568,1.0,0.089110805,178380,0.08595549473319006
0.169,0.284,0.88,0.917,0.422250909,865108,0.41686728409934176
0.419,0.561,0.632,0.693,0.004420653,1700,0.0008191744648863274
0.149,0.263,0.9,0.939,0.456088614,932483,0.4493330956121161
0.476,0.601,0.575,0.653,0.000558003,153,7.372570183976948e-05
0.139,0.14,0.913,1.0,0.47621574,976439,0.4705140560700828
0.372,0.542,0.682,0.715,0.010069586,6113,0.0029456550022647766
0.342,0.27,0.519,0.917,0.047768014,96418,0.04646068444435878
0.257,0.495,0.795,0.759,0.055895674,73015,0.03518354326686777
0.072,0.484,0.703,0.788,0.310164659,623434,0.30041247843643687
0.0,0.431,0.819,0.832,0.755351019,1562699,0.7530135982961171
0.184,0.212,0.592,1.0,0.397482435,808505,0.3895921474899531
0.292,0.334,0.478,0.93,0.081770516,166142,0.08005840232067307
0.0,0.291,0.851,0.987,0.987459879,2047749,0.9867433478214778
0.079,0.393,0.697,0.879,0.986997286,2017307,0.9720743424920251
0.11,0.293,0.661,0.971,0.687834627,1405950,0.6774813758276071
0.077,0.147,0.975,1.0,0.987481081,2020920,0.9738153291635747
0.421,0.488,0.636,0.743,0.01105356,10727,0.005168990873432726
0.0,0.225,0.806,1.0,0.987432894,2047749,0.9867433478214778
0.079,0.258,0.782,0.928,0.987398199,2020920,0.9738153291635747
0.074,0.149,0.706,0.687,0.985320868,2013839,0.970403226583657
0.294,0.057,0.41,0.907,0.066622528,135849,0.065461195223731
0.152,0.207,0.882,0.962,0.450774096,922530,0.4445370700538728
0.042,0.139,1.0,1.0,0.987481563,2020920,0.9738153291635747
0.348,0.356,0.671,0.48,0.02248635,67530,0.03254050094927864
0.0,0.091,0.73,0.745,0.986748642,2044072,0.9849715216406619
0.506,0.0,0.513,0.885,0.000654376,2007,0.0009671077358981526
0.114,0.545,0.747,0.641,0.065829855,87219,0.04202798685465917
0.197,0.212,0.534,0.755,0.317251485,645689,0.3111364359164635
0.162,0.162,0.619,0.674,0.429408088,876173,0.42219914613108717
0.292,0.172,0.411,0.665,0.068203535,140032,0.06747684627468366
0.0,0.123,0.8,0.778,0.987229064,2046382,0.9860846351782427
0.326,0.171,0.378,0.666,0.025626681,54451,0.02623815811030907
0.234,0.224,0.817,1.0,0.171586775,347810,0.16759827684241974
0.263,0.549,0.788,0.705,0.021888834,16907,0.00814693098696067
0.318,0.282,0.457,0.989,0.055336226,115133,0.05547883156809267
0.588,0.068,0.848,0.769,0.002217555,10419,0.005020575735088615
0.179,0.292,0.655,0.898,0.409245786,832574,0.4011902123107466
0.448,0.421,0.606,0.835,0.011478567,17762,0.008558927556065264
0.651,0.0,0.785,0.85,0.000818693,6907,0.00332825766409992
0.329,0.238,0.456,0.663,0.046854393,98508,0.04746778716883668
0.17,0.272,0.968,0.565,0.391156959,827426,0.39870955928413787
0.226,0.26,0.52,1.0,0.18375875,370342,0.17845571157348958
0.253,0.48,1.0,0.513,0.025722091,46388,0.022352861810086447
0.0,0.003,0.698,0.834,0.98696741,2043827,0.9848534641442518
0.111,0.34,0.486,0.617,0.648535436,1331444,0.6415793683683009
0.121,0.119,0.789,0.717,0.542301949,1117985,0.5387204494858475
0.315,0.129,0.743,1.0,0.070799838,146600,0.0706417509131386
0.064,0.384,0.639,0.452,0.395261507,815084,0.3927623526690632
0.0,0.264,0.781,1.0,0.987400609,2047749,0.9867433478214778
0.038,0.016,0.747,0.885,0.987317728,2020172,0.9734548923990247
0.143,0.59,0.718,0.597,0.00270665,3470,0.0016720796430326802
0.366,0.146,0.797,0.852,0.042875612,89650,0.043199406339446626
0.335,0.305,0.87,0.628,0.054921819,118424,0.05706465695864615
-0.0,0.36,0.701,0.477,0.647979843,1350793,0.650903019380704
0.314,0.239,0.467,0.719,0.059631111,123442,0.05948266723205767
