gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.292,0.096,0.568,1.0,0.089110805,178669,0.08609475439222074
0.169,0.284,0.88,0.917,0.422250909,870969,0.41969150853387044
0.419,0.561,0.632,0.693,0.004420653,1704,0.0008211019342154718
0.149,0.263,0.9,0.939,0.456088614,942707,0.4542597072174089
0.476,0.601,0.575,0.653,0.000558003,151,7.276196717519733e-05
0.139,0.14,0.913,1.0,0.47621574,985217,0.47474388751288993
0.372,0.542,0.682,0.715,0.010069586,6038,0.0029095149523433207
0.342,0.27,0.519,0.917,0.047768014,99784,0.048082649884833704
0.257,0.495,0.795,0.759,0.055895674,74378,0.035840328440773686
0.072,0.484,0.703,0.788,0.310164659,629196,0.30318899800506927
0.0,0.431,0.819,0.832,0.755351019,1567779,0.7554614843441304
0.184,0.212,0.592,1.0,0.397482435,815239,0.39283704210556747
0.292,0.334,0.478,0.93,0.081770516,167512,0.080718560565905
0.0,0.291,0.851,0.987,0.987459879,2047955,0.9868426124919287
0.079,0.393,0.697,0.879,0.986997286,2019762,0.9732573267927874
0.11,0.293,0.661,0.971,0.687834627,1406500,0.6777464028603645
0.077,0.147,0.975,1.0,0.987481081,2027751,0.9771069649104208
0.421,0.488,0.636,0.743,0.01105356,10621,0.005117912936210402
0.0,0.225,0.806,1.0,0.987432894,2046571,0.9861757081040448
0.079,0.258,0.782,0.928,0.987398199,2022377,0.9745174098667155
0.074,0.149,0.706,0.687,0.985320868,2016245,0.9715625993851373
0.294,0.057,0.41,0.907,0.066622528,134547,0.06483380395709454
0.152,0.207,0.882,0.962,0.450774096,931249,0.44873847132407507
0.042,0.139,1.0,1.0,0.987481563,2027751,0.9771069649104208
0.348,0.356,0.671,0.48,0.02248635,66025,0.0318152906141881
0.0,0.091,0.73,0.745,0.986748642,2042344,0.9841388548904716
0.506,0.0,0.513,0.885,0.000654376,2222,0.0010707092123396586
0.114,0.545,0.747,0.641,0.065829855,87650,0.04223567167487447
0.197,0.212,0.534,0.755,0.317251485,657658,0.3169039060165955
0.162,0.162,0.619,0.674,0.429408088,882947,0.42546331543999305
0.292,0.172,0.411,0.665,0.068203535,138862,0.06691306149590895
0.0,0.123,0.8,0.778,0.987229064,2045070,0.9854524252382834
0.326,0.171,0.378,0.666,0.025626681,51605,0.0248667636826229
0.234,0.224,0.817,1.0,0.171586775,352017,0.16962549270934726
0.263,0.549,0.788,0.705,0.021888834,17274,0.00832377629790966
0.318,0.282,0.457,0.989,0.055336226,114172,0.05501575706176576
0.588,0.068,0.848,0.769,0.002217555,8567,0.004128157435694804
0.179,0.292,0.655,0.898,0.409245786,837332,0.4034829370777637
0.448,0.421,0.606,0.835,0.011478567,17059,0.008220174821468154
0.651,0.0,0.785,0.85,0.000818693,4751,0.0022893516956911425
0.329,0.238,0.456,0.663,0.046854393,98301,0.04736804063105346
0.17,0.272,0.968,0.565,0.391156959,834029,0.40189132927922283
0.226,0.26,0.52,1.0,0.18375875,379290,0.18276746046278539
0.253,0.48,1.0,0.513,0.025722091,48546,0.023392731513159796
0.0,0.003,0.698,0.834,0.98696741,2042906,0.9844096643312163
0.111,0.34,0.486,0.617,0.648535436,1336470,0.6440012335803706
0.121,0.119,0.789,0.717,0.542301949,1116453,0.5379822287327853
0.315,0.129,0.743,1.0,0.070799838,141092,0.0679876256469069
0.064,0.384,0.639,0.452,0.395261507,804640,0.38772973025066737
0.0,0.264,0.781,1.0,0.987400609,2045802,0.9858051521255168
0.038,0.016,0.747,0.885,0.987317728,2021300,0.9739984387498434
0.143,0.59,0.718,0.597,0.00270665,3594,0.0017318311922361535
0.366,0.146,0.797,0.852,0.042875612,86608,0.041733565914632384
0.335,0.305,0.87,0.628,0.054921819,117036,0.056395825101433074
-0.0,0.36,0.701,0.477,0.647979843,1343843,0.6475540414213159
0.314,0.239,0.467,0.719,0.059631111,123442,0.05948266723205767
0.37,0.152,0.49,1.0,0.03212852,67530,0.03254050094927864
0.336,0.129,0.444,0.708,0.041394833,85389,0.04114616963657566
0.135,0.288,0.789,0.633,0.479342097,993422,0.4786976089742972
0.115,0.219,0.443,0.751,0.589478711,1220292,0.588018850650039
0.0,0.082,0.704,0.889,0.987043063,2043432,0.9846631265479988
0.139,0.381,0.631,0.883,0.475061667,976540,0.4705627246706437
0.138,0.211,0.637,1.0,0.477549549,981566,0.47298458988271347
0.038,0.082,0.941,0.924,0.987476744,2027269,0.9768747048562589
0.0,0.378,0.776,0.886,0.987385671,2045648,0.9857309445563448
0.062,0.0,0.511,0.928,0.980602903,2035560,0.9808698669082428
0.082,0.077,1.0,0.759,0.987156302,2026119,0.97632055742413
0.556,0.029,0.723,0.964,0.003463182,5712,0.0027524262020180604
0.076,0.315,0.847,0.606,0.974147323,1996645,0.9621179996723302
0.087,0.372,0.587,0.593,0.966956896,1978737,0.9534887194857512
0.0,0.042,0.846,0.858,0.987435785,2047802,0.986768886790089
0.215,0.0,0.99,0.959,0.220943506,463445,0.22331900581132003
0.281,0.405,0.6,0.507,0.065912737,165789,0.07988830315237609
0.133,0.117,1.0,0.841,0.4909951,1017705,0.49039879340419995
0.109,0.418,0.674,0.51,0.543133652,1193781,0.5752440658038029
0.031,0.169,0.518,0.713,0.980295953,2011502,0.9692771026281044
0.052,0.0,0.917,0.854,0.987450723,2049969,0.9878130932991529
0.342,0.417,0.433,0.854,0.036324141,74672,0.03598199743646579
0.071,0.273,0.699,0.99,0.987020897,2019823,0.9732867207000568
0.224,0.196,0.981,0.737,0.194522226,403198,0.19428794464308086
0.112,0.141,0.637,0.767,0.648532545,1325041,0.638493971839673
0.307,0.23,0.744,1.0,0.077380703,154429,0.07441429025760628
0.163,0.26,0.572,0.576,0.404482525,853949,0.4114901265383615
0.244,0.053,0.456,0.784,0.139767615,289469,0.13948565480951786
0.0,0.047,0.839,0.921,0.987451687,2047586,0.9866648034463151
0.0,0.423,0.645,0.513,0.590558094,1229805,0.5926028545820765
0.198,0.395,0.695,0.442,0.066889482,187210,0.0902103832772761
0.449,0.28,0.454,0.556,0.000578723,2506,0.0012075595347089039
0.24,0.172,0.309,0.664,0.083476809,174613,0.08414030049246841
0.25,0.092,0.4,0.745,0.116545453,239575,0.11544336613243641
0.1,0.403,0.426,0.491,0.614662555,1302953,0.6278504862041383
0.063,0.373,0.462,0.52,0.84929881,1742134,0.839477463064869
0.225,0.118,0.421,0.758,0.171784341,352629,0.16992039551670635
0.289,0.005,0.357,0.874,0.04857996,99112,0.047758835037537466
0.261,0.473,0.508,0.79,0.064539414,92599,0.04462043310235826
0.37,0.35,0.49,0.635,0.03090554,67047,0.03230775902778447
0.106,0.309,0.751,0.674,0.779616906,1597496,0.7697811358576757
0.0,0.0,0.634,0.893,0.99888785,2064888,0.9950020720295288
0.078,0.306,0.698,0.966,0.987015597,2019793,0.9732722646800883
0.036,0.306,0.734,0.958,0.98724352,2020900,0.973805691816929
0.344,0.0,0.345,0.842,0.000547402,1634,0.0007873712209554466
0.295,0.331,0.3,0.55,0.004396078,10022,0.004829274404171044
0.0,0.139,0.896,0.865,0.98745506,2049340,0.987509998747145
0.294,0.535,0.476,0.744,0.018596233,14523,0.006998159266790667
0.108,0.41,0.753,0.503,0.527903264,1171580,0.5645461291597198
0.165,0.0,0.716,0.953,0.427549043,887032,0.42743174349238167
0.219,0.207,0.319,0.676,0.139896755,290269,0.1398711486753467
0.049,0.441,0.812,0.471,0.337789645,693986,0.33440918246388407
0.113,0.101,0.622,0.812,0.633830283,1300199,0.6265234235710224
0.2,0.411,0.534,0.426,0.04554564,142540,0.06868536954405713
0.0,0.062,0.813,0.775,0.987225691,2045418,0.985620115069919
0.0,0.262,0.762,0.574,0.955887434,1981571,0.95485433150545
0.125,0.304,0.854,0.701,0.518483717,1071329,0.5162384472307084
0.121,0.378,0.742,0.535,0.4645637,1016386,0.48976321039291465
0.302,0.249,0.467,1.0,0.070247617,144702,0.06972716671645962
0.137,0.495,0.487,0.5,0.015068962,25417,0.012247621984715169
0.444,0.012,0.835,0.981,0.015441928,30980,0.014928249954222603
0.079,0.266,0.648,0.571,0.952695543,1949327,0.9393170012432177
0.166,0.159,0.647,0.748,0.425059715,870982,0.4196977728091902
0.076,0.402,0.627,0.434,0.231946952,471946,0.22741536000308396
0.0,0.017,0.862,0.965,0.987464215,2048294,0.9870059655175737
0.283,0.0,0.591,0.85,0.100497817,205056,0.0988097876892534
0.38,0.06,0.381,0.865,0.000520417,1629,0.0007849618842940162
0.111,0.442,0.748,0.551,0.454465684,882860,0.42542139298208415
0.179,0.174,0.546,0.663,0.403025839,831277,0.4005652303807716
0.096,0.327,0.687,0.6,0.933682495,1910278,0.9205005637847787
0.415,0.075,0.446,0.837,0.006848302,16133,0.007773965671771248
0.02,0.122,0.761,0.714,0.986451812,2019331,0.9730496419725722
0.027,0.333,0.835,0.579,0.960349527,1970359,0.9494516349758585
0.1,0.189,0.761,0.723,0.909102912,1863451,0.8979361622158187
0.053,0.06,0.677,0.821,0.986804539,2018586,0.9726906508100189
0.339,0.103,0.387,0.858,0.02285016,46252,0.02228732785289554
0.163,0.309,0.553,0.528,0.360631613,787426,0.3794348659926949
0.014,0.233,0.861,0.603,0.973003852,1995001,0.9613258097780519
