x1,y1,x2,y2,selectivity
'mls','C','t','Z',0.32665500000000000000
'exnirp','FOZ','kcjyaaykg','R',0.06947000000000000000
'vhueyq','D','y','OBK',0.01656000000000000000
'q','H','uml','WVL',0.17174000000000000000
'cpp','QFL','kp','W',0.07573000000000000000
'vryfglg','NX','zqgcqe','VV',0.01670000000000000000
'r','CJ','vcd','PE',0.10386500000000000000
'btyndzgzle','IYA','mborvifw','VOQ',0.34172000000000000000
'ruluebakj','Q','zpcoukj','YA',0.06950500000000000000
'hdvupvwobb','ED','zeicpuo','MJU',0.20570500000000000000
'qlhyggyed','C','tyaixef','ZW',0.20710000000000000000
'kql','GH','rjywpmkd','MZ',0.10846000000000000000
'jptz','LG','zfagxmriv','W',0.38482000000000000000
'jrydr','FEM','uqphorrgu','O',0.17711500000000000000
'aji','KAA','yclczcjfp','XA',0.82349500000000000000
'dxlk','B','rajzyopi','TQ',0.46579000000000000000
'mx','KI','vwfc','ZZ',0.30849500000000000000
'bud','Q','glguzk','Z',0.07608000000000000000
'gqjsdyik','AM','imy','YL',0.04272500000000000000
'jgatghzqu','DJ','nm','ZW',0.19512000000000000000
'jzhrndthdy','EE','xxccrrlgoy','QR',0.28177000000000000000
'ifza','L','otkx','QDK',0.12401500000000000000
'kx','FJ','zgico','ZS',0.47167500000000000000
'belpdskkjz','N','tkbjmknnv','U',0.44019000000000000000
'aylckxln','BH','mqifa','H',0.09401500000000000000
'hmtlhmyj','FQ','lenuygp','QX',0.04757000000000000000
'eeddc','RR','qrvj','UF',0.15590000000000000000
'cgkwjur','AF','swq','P',0.38481000000000000000
'ovealrynw','IYD','vpwa','X',0.26272000000000000000
'ckk','F','d','ZT',0.04458500000000000000
'lfk','K','xllis','NUA',0.17036500000000000000
'skcqsqkbi','K','tneoxhv','VJZ',0.07143000000000000000
'eua','BO','ryi','VO',0.50951500000000000000
'ilinknnu','NU','okge','V',0.10775000000000000000
'h','N','vqdn','SEJ',0.09704000000000000000
'sxfaaby','IB','uygfqwqrk','VX',0.03684500000000000000
'ggivcictu','H','ygrh','RLM',0.32925500000000000000
'crrrgksqh','OG','exghsxz','QOU',0.01087000000000000000
'sklmf','M','v','V',0.07192000000000000000
'ktbtosrsnw','G','uw','XQ',0.43487500000000000000
'alfzvkneeo','JBG','yhamrbta','OJ',0.33174500000000000000
'epuxjekyim','NQ','lm','U',0.11287000000000000000
'g','A','ho','OI',0.02674500000000000000
'v','PM','vpru','S',0.00179500000000000000
'bmvsnppde','F','eptobhdd','ZGI',0.14461000000000000000
't','JFB','yotzlqnul','MIA',0.02917000000000000000
'kqbvzvua','NN','zyuz','V',0.28355500000000000000
'dtv','LYH','zynhhcr','T',0.47822000000000000000
'diybtfkg','BH','tvpcite','GP',0.11647500000000000000
'e','E','z','GXL',0.12013000000000000000
'sx','AWH','ue','MX',0.02194500000000000000
'copxomhhrt','K','ekazpi','VLD',0.08970000000000000000
'cwsv','BB','hezlhpsezl','O',0.08105500000000000000
'mbs','SE','udr','TS',0.14205000000000000000
'i','FZR','szcawhbai','W',0.42432500000000000000
'bsdzsir','EP','wui','WZ',0.72324500000000000000
'ibtcjfvy','BTF','luqe','FVH',0.01785000000000000000
'ouhzvmjcoc','G','zhzqapxj','RW',0.17341000000000000000
'itsceuig','AW','ylrhvcwt','ML',0.29339500000000000000
'lb','J','n','PCR',0.04364000000000000000
'qfmt','LXG','uemyzuhv','X',0.13737000000000000000
'kjtt','BP','s','IOY',0.05960000000000000000
'ekn','LLO','tzicwkzgtl','T',0.44866000000000000000
'ccanz','KOI','nznmemuoe','R',0.23742500000000000000
'bimanc','ARK','wqugervo','OO',0.46683500000000000000
'hbrokh','MH','q','SL',0.06122000000000000000
'dlza','CME','e','W',0.02149000000000000000
'jtvudnufwx','SI','vxnp','VJP',0.18202000000000000000
'njxe','PH','y','QJT',0.06151500000000000000
'hlvarhz','G','mnjxzoh','VDB',0.17076500000000000000
'riebcpuzvy','BBE','xsuzrd','M',0.07718000000000000000
'o','E','v','KZ',0.05700500000000000000
'bmvysv','GHW','zqaz','V',0.74139500000000000000
'mdnzyygoa','HG','rsvkxqxqol','UI',0.21855000000000000000
'gl','N','tc','V',0.28708500000000000000
'de','J','xbwsgiumk','SSN',0.49765500000000000000
'etmqtfcd','LNM','zqtiopv','SXV',0.47822000000000000000
'kq','JCA','yv','V',0.47167500000000000000
'krqhhwzvmd','FRO','le','XSJ',0.02696000000000000000
'acv','O','rluoof','SYR',0.38117500000000000000
'czncu','A','iyhdwhr','YEJ',0.19365000000000000000
'nnyisap','BBB','urlbsqwwey','SC',0.22502500000000000000
'fvkndznvep','GAV','upelhhw','OO',0.20870000000000000000
'tqfouot','FA','whfnooh','T',0.02737000000000000000
'ctrbhfphe','ID','xoxzdb','X',0.64189000000000000000
'e','DOQ','sitarkng','H',0.09440000000000000000
'hfidkfbwlx','C','yhkyn','KP',0.10387000000000000000
'djjwn','FG','korc','V',0.14303000000000000000
'blfxwfpemc','F','lqwstloll','O',0.13960500000000000000
'srb','CW','swfplappxs','P',0.00517000000000000000
'mtm','FA','rzq','O',0.06503500000000000000
'fkzlrfadrx','EM','luzjngck','MNB',0.07127500000000000000
'g','A','uv','U',0.62941000000000000000
'ce','CG','wlzr','H',0.14195500000000000000
'j','HKA','lw','RQL',0.04256000000000000000
'pagfge','C','zwjgxkl','IG',0.05866000000000000000
'rqmwy','G','vioe','UA',0.13532500000000000000
'nv','HG','txe','RS',0.16802000000000000000
'j','GQ','wep','LPK',0.09036500000000000000
'cylf','L','hstlcpok','N',0.05732000000000000000
'aispin','BDQ','zjgunrmto','O',0.49910000000000000000
'rox','QE','zpmrsj','ZOY',0.07310000000000000000
'kkpjbrxfhe','HYO','lxbbzjko','WL',0.06265000000000000000
'dnuvxrtzxf','RN','fnjvps','T',0.01458500000000000000
'pfi','E','zxkszqcmsu','T',0.30558000000000000000
'de','OC','raxoimnlfq','SE',0.08457500000000000000
'qptolcf','G','xow','NFK',0.07957000000000000000
'cut','NR','dhihrsfw','XP',0.01619500000000000000
'bdpkanrukl','K','j','UW',0.31592500000000000000
'om','BX','zgvzoztfss','R',0.24679000000000000000
'c','LEU','x','ZN',0.56445500000000000000
'kxb','P','rqnccahqzt','VP',0.18013500000000000000
'kouyl','IH','ljhsgi','ZQW',0.06265000000000000000
'btcmrahpsw','BL','qfz','HE',0.10462000000000000000
'dpkkgzsyhp','ECM','seh','QMQ',0.37557500000000000000
'ad','I','umjoibz','TV',0.79584500000000000000
'doqxidd','M','nzqfsfwc','R',0.11500000000000000000
'jsrciei','K','mj','QIJ',0.08104500000000000000
'm','ECD','nepuyd','P',0.05493500000000000000
'elhmldb','O','o','XUL',0.16729000000000000000
'dswsqfjen','E','rdlhnj','TV',0.46579000000000000000
